Number,Year,Genre,Source,Sentence,Syntax,Contrast,Position,Other,Local,Licensor.category,Licensor,Note,Note2,Syntax2,Contrast2
197,2006,ACAD,ChurchHistory ,"conflict with Catholic orthodoxy. # Indeed, Aude was not the first -- much less the only! -- medieval Christian to puzzle over how the simultaneously human and divine",Adj/DP,Adj,in NP,NA,1,Neg,NA,NA,NA,Adj,Adj
288,2003,ACAD,ForeignAffairs ,"these trends are, China still faces serious obstacles to becoming a high-profile, much less a dominant, player in the international community. For the moment, China's",Adj/DP,Adj,in NP,NA,1,NEC,NA,Not Enough Context,NA,Adj,Adj
513,1996,MAG,America ,"patristic texts demonstrates just the reverse-that the Fathers never arrived at a dominant, much less a unanimous interpretation of Psalm 1. Doctrinal Aberration? Other attacks raise the question",Adj/DP,Adj,in NP,NA,1,Neg,never,NA,NA,Adj,Adj
552,1995,ACAD,AsianAffairs ,"the Saffron Surge should not be interpreted as an aberrant, transient, or much less a perverse political trend that can be arrested by a determined reassertion of the Nehruvian",Adj/DP,Adj,in NP,NA,1,Neg,NA,NA,NA,Adj,Adj
563,1994,MAG,Atlantic ,"there is no corresponding vignette to give children a picture of an amicable, much less a long-lasting, marriage. (Susan Wilson believes that you "" can't beat",Adj/DP,Adj,in NP,NA,1,Neg,NA,NA,NA,Adj,Adj
579,1994,ACAD,HispanicRev ,"to be able to assert that Pizarnik is not writing a specifically erotic, much less a pornographic, poetry (whatever the distinction between the two might be),",Adj/DP,Adj,in NP,NA,1,Neg,NA,NA,NA,Adj,Adj
555,1995,FIC,Bk:UntilEndTime ,"all these changed Hektor before my eyes from an awkward and difficult human, much less television, personality, into a fascinating rhetorician with a good story to tell.",Adj,Adj,in NP,NA,1,NEC,NA,NA,NA,Adj,Adj
610,1994,MAG,USAToday ,"the Arab-Israeli conflict has ceased to be at the center of Middle Eastern, much less world, politics. With the end of the superpower rivalry, the continuing disintegration",Adj,Adj,in NP,NA,1,Verb,ceased,NA,NA,Adj,Adj
1,2012,MAG,WashMonth ,"twentyseventh -largest metro area in the United States. But running a national , much less international, business out of Cincinnati is becoming more and more problematic for a simple",Adj,Adj,in NP,NA,1,Adj,problematic,not c-command,NA,Adj,Adj
20,2008,FIC,Bk:Maelstrom ,"worked to death before they reached puberty, and nobody found it remarkable , much less lamentable, that they had to do so. It was simply how life was",Adj,Adj,in AdjP,NA,1,NEC,NA,NA,NA,Adj,Adj
58,2001,ACAD,AcademicQs ,"modern, and some few postmodern elements. Why is it even important , much less epochal, that some individuals now say their very human things into a cell phone",Adj,Adj,in AdjP,NA,1,Ques,NA,NA,NA,Adj,Adj
81,1997,MAG,NatlReview ,"Roosevelt -- Great. The only accidental President to achieve even Above Average , much less Great, status, he was a leader in every sense and in every arena",Adj,Adj,in NP,NA,1,Part,only,NA,NA,Adj,Adj
97,1995,MAG,America ,"hospital and corporate board rooms. Many of these topics are not comfortable , much less familiar, for leaders of large institutions like Fortune 500 companies and managed-care boards intent",Adj,Adj,in AdjP,NA,1,Neg,NA,NA,NA,Adj,Adj
